month,soc2d_code,employment_nsa,employment_sa,active_postings_nsa,active_postings_sa,soc2d_name,count,salary_nsa,salary_sa,rl_hiring_rate_nsa,rl_attrition_rate_nsa,rl_hiring_rate,rl_attrition_rate
2023-10-01,21,3885719,3882110,578143.0,570313.8852907396,Community and Social Service,139029.0,66673.0,67015.0,0.3387292600907616,0.294607057886042,0.3757385814832994,0.3360364584161069
2023-11-01,21,3893574,3893480,494728.0,522041.7827878456,Community and Social Service,134609.0,67779.0,67954.0,0.262104165291551,0.2379693420879167,0.3617987627054963,0.3267590192578537
2023-12-01,21,3899797,3904110,477455.0,508944.3408339895,Community and Social Service,131883.0,69892.0,68934.0,0.2401530531514197,0.2211690504245672,0.3355513401816866,0.3028790715104171
2024-01-01,21,3914385,3914298,520544.0,523635.6636727616,Community and Social Service,164415.0,66617.0,66175.0,0.4413239567314441,0.3969342049163313,0.3479720744565941,0.3167389784806323
2024-02-01,21,3917041,3924593,473465.0,473689.9310680315,Community and Social Service,137746.0,66606.0,66748.0,0.2663420909245851,0.2584169824781778,0.3503523375501212,0.3188704948964826
2024-03-01,21,3925585,3933781,513126.0,492718.5123434679,Community and Social Service,146341.0,68191.0,68353.0,0.2698011255643534,0.2437551812041162,0.3325588516587716,0.304535329984498
2024-04-01,21,3933486,3943317,497756.0,486073.6658652122,Community and Social Service,157830.0,69002.0,68870.0,0.2850787287099393,0.2612380614424848,0.3530989228291945,0.3240801237188616
2024-05-01,21,3951950,3953420,496092.0,487776.0977697271,Community and Social Service,150144.0,67826.0,67500.0,0.381432816892977,0.3255031241850743,0.3383426008983713,0.3076753726326528
2024-06-01,21,3968439,3963476,479200.0,480718.0351793863,Community and Social Service,139545.0,69856.0,68709.0,0.4173726002176985,0.3675952188665922,0.3375273793562143,0.3070836280979382
2024-07-01,21,3973457,3974380,485323.0,485759.9292271686,Community and Social Service,138937.0,67083.0,67747.0,0.3588341607056617,0.3437113877827802,0.3439837992563977,0.3110622294468048
2024-08-01,21,3998586,3980227,511225.0,494215.16929333616,Community and Social Service,145756.0,68225.0,69104.0,0.4901367308237938,0.4151761719317176,0.3263318884477742,0.3087033972433714
2024-09-01,21,3987340,3986147,501214.0,495532.5940690347,Community and Social Service,143706.0,70882.0,70770.0,0.3609964815183517,0.3949472964992507,0.3253921370023708,0.3075720820322636
2024-10-01,21,3996278,3992825,497937.0,485763.9117648201,Community and Social Service,159585.0,72923.0,73425.0,0.2892054071707685,0.2623984171263858,0.3222540235617277,0.302179582308694
2024-11-01,21,4000815,4000717,440125.0,472615.98119675793,Community and Social Service,133696.0,72446.0,72882.0,0.2316790758522659,0.2183230537196257,0.3177221683151833,0.2940538819113938
2024-12-01,21,4004909,4007427,408491.0,446439.13313467655,Community and Social Service,110507.0,69423.0,69635.0,0.230643550362314,0.2186383834497266,0.3172475447300241,0.2971550870871826
2025-01-01,21,4013134,4013005,434999.0,437045.2618240271,Community and Social Service,140355.0,69584.0,69118.0,0.3925203223652721,0.3687332549049719,0.31496584608256,0.2982914653656723
2025-02-01,21,4011753,4017154,429464.0,425168.3923621568,Community and Social Service,128514.0,69742.0,68618.0,0.2323851376232535,0.2367491136935003,0.306262470075483,0.2938688466646114
2025-03-01,21,4016693,4021861,422318.0,406114.215939548,Community and Social Service,118016.0,70895.0,72199.0,0.2517306273404636,0.2373013254481989,0.3085484335852708,0.2945076997617844
2025-04-01,21,4018482,4025669,422639.0,403994.6628549648,Community and Social Service,115061.0,74094.0,73450.0,0.2431054594150077,0.238338116972073,0.3043815794856926,0.2930255500104604
2025-05-01,21,4026710,4025839,481107.0,470063.70477377856,Community and Social Service,111128.0,72811.0,72814.0,0.3342404782820257,0.3101451244001778,0.2915099746995265,0.2910057782525246
2025-06-01,21,4033147,4031808,467271.0,471714.463934933,Community and Social Service,120646.0,78287.0,76205.0,0.3728620548749185,0.3541495471527696,0.3103046111128891,0.2925408232001282
2025-07-01,21,4033282,4037486,417817.0,423962.092164965,Community and Social Service,110077.0,68935.0,69873.0,0.3158544610164019,0.3156366763214329,0.3043284282254009,0.2874535835221116
2025-08-01,21,4057303,4043037,395242.0,391121.3452837592,Community and Social Service,107317.0,69872.0,70839.0,0.4516677603694833,0.3818566277147012,0.3000821468608773,0.2836094660123376
2025-09-01,21,4047136,4047040,380307.0,386407.88161750085,Community and Social Service,100902.0,71171.0,70794.0,0.334861991017566,0.3652182118739508,0.2961860919426601,0.2843165348260279
2025-10-01,21,4053755,4050607,376435.0,374700.7463034789,Community and Social Service,106261.0,70878.0,71221.0,0.2652736484454394,0.2458969160382175,0.2972315415662891,0.286661652225577
2025-11-01,21,4055997,4055907,354102.0,391302.18000277545,Community and Social Service,84679.0,70640.0,71317.0,0.2135183461736512,0.2073026337416177,0.2901888701595059,0.274508412371868
2025-12-01,21,4060404,4060976,349110.0,393862.9295761589,Community and Social Service,62107.0,69843.0,71350.0,0.214799681778741,0.2026271260664999,0.2895342384810738,0.2745537013287768
2026-01-01,21,4067069,4066928,373063.0,376432.9519808992,Community and Social Service,41809.0,72112.0,71478.0,0.3489003158102652,0.3297846542448698,0.286217784099093,0.2686544834668334
2026-02-01,21,4068575,4071708,394198.0,385236.9487039408,Community and Social Service,40483.0,74958.0,72617.0,0.2135004576126138,0.2094180493966347,0.2787537044409591,0.2646640447534424
2026-03-01,21,4076073,4077960,397955.0,381941.2428982203,Community and Social Service,42957.0,70091.0,72630.0,0.2330212309034684,0.212244124987956,0.282455531260928,0.2640599521789518
2026-04-01,21,4080711,4085145,409214.0,373977.5316656696,Community and Social Service,40171.0,75267.0,74180.0,0.2143389165595523,0.2011610004486968,0.2692043208651321,0.2481012586506348
