soc6,title,mapping_confidence,data_confidence_score,career_evidence_index_beta,market_opportunity_score,growth_score,opening_score,wage_score,future_skill_fit_score,ai_potential_exposure_score,ai_observed_usage_score,HumanMoat_seed_equal_weight,Physicality,Judgment,Interaction,Responsibility,Context,"Employment, 2025","Employment change, percent, 2025–35","Occupational openings, 2025–35 annual average","Median annual wage, dollars, 2025","Occupational transfer rate, 2025–35 annual average",Typical education needed for entry,career_evidence_index_percentile_rank,market_opportunity_percentile_rank,future_skill_fit_percentile_rank,human_structure_percentile_rank,evidence_coverage_pct,data_confidence_label,ilo_pct,anthropic_pct,exposure_gap,abs_exposure_gap,2025 National Employment Matrix occupation code,bls_ai_mention_count,bls_ai_mention,decision_social_context_score,embodied_physicality_score,soc2d_code,soc2d_name,employment_common_2022_annualized_pct,postings_common_2022_annualized_pct,salary_common_2022_annualized_pct,rl_hiring_rate_common_2022_mean,rl_attrition_rate_common_2022_mean,net_hiring_rate_common_2022_mean
11-3021,Computer and Information Systems Managers,A,100.0,77.7,72.8,97.3,42.9,96.9,76.9,44.0,15.6,63.12660080497623,21.75265276253202,73.17965605561655,65.69703622392976,84.00109769484084,71.00256128796195,685.8,15.8,53.5,175140.0,4.2,Bachelor's degree,98.87566137566137,84.06593406593407,90.29304029304028,79.26208651399492,100.0,A,85.11904761904762,80.82010582010582,-4.298941798941797,4.298941798941797,,0,0,73.47008781558728,21.75265276253202,11,Management,0.4935269665206521,-10.241352757766409,8.950929736253176,0.3143135777999322,0.307030048156918,0.007283529643014208
11-3031,Financial Managers | Treasurers and Controllers | Investment Fund Managers,B,100.0,72.3,66.9,92.3,35.8,96.2,71.9,42.1,39.1,52.09245029881692,8.799853640687889,68.9535309184047,50.02195389681668,71.60629345042078,61.080619587754605,879.7,9.7,65.6,166570.0,4.0,Bachelor's degree,95.63492063492065,77.96092796092796,83.15018315018315,56.10687022900763,100.0,A,83.45238095238095,95.37037037037037,11.917989417989418,11.917989417989418,,0,0,62.91559946334919,8.799853640687889,11,Management,0.4935269665206521,-10.241352757766409,8.950929736253176,0.3143135777999322,0.307030048156918,0.007283529643014208
11-3051,Industrial Production Managers | Quality Control Systems Managers | Geothermal Production Managers | Biofuels Production Managers,A,100.0,65.2,37.4,48.3,24.2,91.8,74.7,37.9,1.3,70.89486522746677,45.52994267593609,77.21673374801806,71.98865715331138,80.63483351628247,79.10415904378583,252.1,2.6,17.0,126060.0,4.3,Bachelor's degree,84.9867724867725,29.54822954822955,87.6068376068376,89.31297709923665,100.0,A,75.59523809523809,56.08465608465608,-19.51058201058201,19.51058201058201,,0,0,77.23609586534944,45.52994267593609,11,Management,0.4935269665206521,-10.241352757766409,8.950929736253176,0.3143135777999322,0.307030048156918,0.007283529643014208
11-3061,Purchasing Managers,A,100.0,66.7,49.4,63.4,32.2,95.1,78.1,41.9,20.0,49.927552140504936,21.734357848518112,62.769849981705086,73.89681668496158,32.821075740944025,58.4156604463959,88.3,4.0,6.4,148080.0,4.4,Bachelor's degree,87.83068783068782,49.14529914529914,92.55189255189256,51.01781170483461,100.0,A,83.03571428571429,84.39153439153439,1.3558201058201007,1.3558201058201007,,0,0,56.97585071350164,21.734357848518112,11,Management,0.4935269665206521,-10.241352757766409,8.950929736253176,0.3143135777999322,0.307030048156918,0.007283529643014208
11-3071,"Transportation, Storage, and Distribution Managers | Supply Chain Managers",A,100.0,70.7,65.5,81.0,46.5,87.9,71.6,38.5,9.6,57.424990852543,37.36736187339919,61.4892060007318,75.93304061470911,45.56805708013172,66.76728869374315,228.1,6.1,18.3,107230.0,5.1,High school diploma or equivalent,93.58465608465607,76.19047619047619,82.66178266178265,67.17557251908397,100.0,A,77.14285714285715,75.0,-2.142857142857153,2.142857142857153,,0,0,62.43939809732895,37.36736187339919,11,Management,0.4935269665206521,-10.241352757766409,8.950929736253176,0.3143135777999322,0.307030048156918,0.007283529643014208
11-3111,Compensation and Benefits Managers,A,100.0,57.3,29.8,34.1,24.4,95.4,67.5,35.6,0.0,47.40687888766922,6.348335162824735,62.019758507135016,61.44895718990121,43.6059275521405,63.61141602634467,23.7,1.1,1.6,149230.0,4.2,Bachelor's degree,68.78306878306879,18.00976800976801,74.72527472527473,44.529262086514,100.0,A,66.9047619047619,27.24867724867725,-39.65608465608464,39.65608465608464,,0,0,57.671514818880354,6.348335162824735,11,Management,0.4935269665206521,-10.241352757766409,8.950929736253176,0.3143135777999322,0.307030048156918,0.007283529643014208
11-3121,Human Resources Managers,A,100.0,73.0,57.7,75.4,36.0,95.6,82.3,35.6,0.0,62.363702890596414,25.26527625320161,76.08854738382729,74.80790340285401,58.397365532382,77.25942188071717,224.9,5.5,16.8,149280.0,4.5,Bachelor's degree,96.56084656084656,64.28571428571429,96.52014652014653,77.48091603053436,100.0,A,66.9047619047619,27.24867724867725,-39.65608465608464,39.65608465608464,,0,0,71.63830954994512,25.26527625320161,11,Management,0.4935269665206521,-10.241352757766409,8.950929736253176,0.3143135777999322,0.307030048156918,0.007283529643014208
11-3131,Training and Development Managers,A,100.0,68.8,67.5,82.7,49.0,93.0,72.8,35.6,37.8,36.75887303329674,12.586900841566049,56.16538602268569,62.425905598243695,6.586169045005489,46.0300036589828,50.2,6.4,4.1,133000.0,5.0,Bachelor's degree,91.20370370370372,78.69352869352869,84.7985347985348,21.501272264631044,100.0,A,66.9047619047619,94.70899470899472,27.80423280423281,27.80423280423281,,0,0,42.80186608122942,12.586900841566049,11,Management,0.4935269665206521,-10.241352757766409,8.950929736253176,0.3143135777999322,0.307030048156918,0.007283529643014208
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",B,100.0,57.9,36.5,16.2,61.2,77.6,65.9,24.5,0.0,62.85803146725211,70.41712403951702,66.53860226856933,63.34796926454446,62.596048298573,51.39041346505672,788.7,-3.4,70.8,89900.0,3.3,High school diploma or equivalent,69.44444444444444,28.51037851037851,71.91697191697192,79.00763358778626,100.0,A,43.57142857142857,27.24867724867725,-16.32275132275132,16.32275132275132,,0,0,60.96825832418588,70.41712403951702,11,Management,0.4935269665206521,-10.241352757766409,8.950929736253176,0.3143135777999322,0.307030048156918,0.007283529643014208
11-9021,Construction Managers,B,100.0,77.1,71.8,90.6,48.8,89.4,79.8,23.8,11.9,68.19612147822906,62.97109403585802,61.96487376509331,75.41163556531284,73.8748627881449,66.7581412367362,609.1,9.1,49.7,114990.0,4.8,Bachelor's degree,98.61111111111111,82.96703296703298,94.74969474969474,86.25954198473282,100.0,A,41.66666666666667,78.04232804232805,36.37566137566138,36.37566137566138,,0,0,69.50237833882181,62.97109403585802,11,Management,0.4935269665206521,-10.241352757766409,8.950929736253176,0.3143135777999322,0.307030048156918,0.007283529643014208
