outcome,ai_source,hm_spec,interaction,controls,winsor,weighted,high_mapping_conf,term,std_beta,robust_se,p_value,n,r2,adj_r2,p_fdr_bh
log_wage,ilo_exposure_mean,HM_PCA1,True,True,False,False,False,self_emp,-0.0046643928427395,0.0287575248541511,0.8711504871209509,566,0.7481075413062318,0.7354660982119349,
log_wage,observed_exposure,HM_equal_z,False,True,False,False,False,AI,-0.0068664772512271,0.0324931078879466,0.8326367684909837,562,0.743344310240307,0.7308713234482471,0.8839207150789588
log_wage,observed_exposure,HM_equal_z,False,True,False,False,False,HM,0.1264967820763138,0.0295573861307102,1.8714435755348875e-05,562,0.743344310240307,0.7308713234482471,0.0002177679796986
log_wage,observed_exposure,HM_equal_z,False,True,False,False,False,log_emp,-0.0522626955071664,0.0250721742008727,0.0371156221349763,562,0.743344310240307,0.7308713234482471,
log_wage,observed_exposure,HM_equal_z,False,True,False,False,False,education_ord,0.7622747376468785,0.0538545126970835,1.7559443922604442e-45,562,0.743344310240307,0.7308713234482471,
log_wage,observed_exposure,HM_equal_z,False,True,False,False,False,self_emp,-0.0090049441616396,0.0292911231028676,0.7585167671029982,562,0.743344310240307,0.7308713234482471,
log_wage,observed_exposure,HM_equal_z,True,True,False,False,False,AI,-0.0008936320093504,0.0425251012070276,0.9832343089397816,562,0.7434107912918866,0.7304371796156337,0.9856441486160796
log_wage,observed_exposure,HM_equal_z,True,True,False,False,False,HM,0.1273319044659558,0.0294776852091679,1.563099729943702e-05,562,0.7434107912918866,0.7304371796156337,0.0002177679796986
log_wage,observed_exposure,HM_equal_z,True,True,False,False,False,AIxHM,0.0097322044256589,0.030215833432185,0.7473848488614314,562,0.7434107912918866,0.7304371796156337,0.8501114996941016
log_wage,observed_exposure,HM_equal_z,True,True,False,False,False,log_emp,-0.0534234146564706,0.0254670651142978,0.0359276560603477,562,0.7434107912918866,0.7304371796156337,
log_wage,observed_exposure,HM_equal_z,True,True,False,False,False,education_ord,0.7625898668856451,0.0539966272078041,2.7439515412694802e-45,562,0.7434107912918866,0.7304371796156337,
log_wage,observed_exposure,HM_equal_z,True,True,False,False,False,self_emp,-0.0086635667662944,0.0293267775050206,0.7676769596267805,562,0.7434107912918866,0.7304371796156337,
log_wage,observed_exposure,HM_PCA1,False,True,False,False,False,AI,-0.0110474620738038,0.0317061064167943,0.7275148264738014,562,0.7475659178526213,0.7352980932996646,0.8501114996941016
log_wage,observed_exposure,HM_PCA1,False,True,False,False,False,HM,0.1573968120735702,0.029368395082242,8.350138588516103e-08,562,0.7475659178526213,0.7352980932996646,2.6720443483251526e-06
log_wage,observed_exposure,HM_PCA1,False,True,False,False,False,log_emp,-0.0524228874772148,0.0248476115091732,0.0348776787152466,562,0.7475659178526213,0.7352980932996646,
log_wage,observed_exposure,HM_PCA1,False,True,False,False,False,education_ord,0.7357032677943899,0.0537149695164712,1.0664142573972703e-42,562,0.7475659178526213,0.7352980932996646,
log_wage,observed_exposure,HM_PCA1,False,True,False,False,False,self_emp,-0.0091278297699249,0.0284506656073591,0.7483391509638317,562,0.7475659178526213,0.7352980932996646,
log_wage,observed_exposure,HM_PCA1,True,True,False,False,False,AI,-0.0074191108298569,0.0357463475764397,0.8355813009730781,562,0.7476611315692805,0.7349024247385137,0.8839207150789588
log_wage,observed_exposure,HM_PCA1,True,True,False,False,False,HM,0.1589822169887624,0.0292143674472153,5.270968682334353e-08,562,0.7476611315692805,0.7349024247385137,2.2489466377959906e-06
log_wage,observed_exposure,HM_PCA1,True,True,False,False,False,AIxHM,0.0126651300433529,0.031045439782252,0.6833070044619323,562,0.7476611315692805,0.7349024247385137,0.8409932362608397
log_wage,observed_exposure,HM_PCA1,True,True,False,False,False,log_emp,-0.0536387747629016,0.0250916137188939,0.0325397009194445,562,0.7476611315692805,0.7349024247385137,
log_wage,observed_exposure,HM_PCA1,True,True,False,False,False,education_ord,0.7358700149114558,0.0538687540566087,1.749623000351189e-42,562,0.7476611315692805,0.7349024247385137,
log_wage,observed_exposure,HM_PCA1,True,True,False,False,False,self_emp,-0.0085771395739134,0.0285443686635537,0.7638076383207846,562,0.7476611315692805,0.7349024247385137,
transfer,ilo_exposure_mean,HM_equal_z,False,True,False,False,False,AI,-0.0722284724907936,0.0580500776307891,0.2134097002606553,571,0.6802064917032408,0.6649222431449398,0.367392314475169
transfer,ilo_exposure_mean,HM_equal_z,False,True,False,False,False,HM,-0.0381335890373134,0.0342709354336243,0.2658332942795146,571,0.6802064917032408,0.6649222431449398,0.4307172363009857
transfer,ilo_exposure_mean,HM_equal_z,False,True,False,False,False,log_emp,-0.0310494791749856,0.0266552804907798,0.244078565915553,571,0.6802064917032408,0.6649222431449398,
transfer,ilo_exposure_mean,HM_equal_z,False,True,False,False,False,education_ord,-0.5644661946615537,0.0552415235031147,1.6444866096439121e-24,571,0.6802064917032408,0.6649222431449398,
transfer,ilo_exposure_mean,HM_equal_z,False,True,False,False,False,self_emp,-0.1618479932752513,0.0318260580315158,3.668667956071911e-07,571,0.6802064917032408,0.6649222431449398,
transfer,ilo_exposure_mean,HM_equal_z,True,True,False,False,False,AI,-0.1080782088925098,0.0574979033075722,0.0601503984808312,571,0.6856062030260464,0.6699733622925348,0.1638138511818384
transfer,ilo_exposure_mean,HM_equal_z,True,True,False,False,False,HM,-0.0467006818582675,0.0330746921203046,0.1579569355963729,571,0.6856062030260464,0.6699733622925348,0.2973307022990549
transfer,ilo_exposure_mean,HM_equal_z,True,True,False,False,False,AIxHM,-0.0878730234627787,0.0295256891215095,0.0029188741849824,571,0.6856062030260464,0.6699733622925348,0.0233509934798597
transfer,ilo_exposure_mean,HM_equal_z,True,True,False,False,False,log_emp,-0.0259772352817986,0.026487297094619,0.3267194175358003,571,0.6856062030260464,0.6699733622925348,
transfer,ilo_exposure_mean,HM_equal_z,True,True,False,False,False,education_ord,-0.5762410029466123,0.0548143290349111,7.558225526923915e-26,571,0.6856062030260464,0.6699733622925348,
transfer,ilo_exposure_mean,HM_equal_z,True,True,False,False,False,self_emp,-0.1654175561338169,0.0314316110727824,1.4189573792676666e-07,571,0.6856062030260464,0.6699733622925348,
